rank,constellation,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation_code
3,Cancer,* pi.02 Cnc,138.80771713763,14.941508884169998,*,5.6869,-41.018,-11.304,27.47,v,K1III,6.664,5.348,Cnc
4,Cancer,* tau Cnc,137.00020890672,29.6542321328,*,12.0346,-32.199,2.64,-13.938,v,G8III,6.316,5.42,Cnc
5,Cancer,*  60 Cnc,133.9814460193,11.626024724329998,*,3.6191,-15.525,-12.905,25.395599,v,K5III,6.921,5.44,Cnc
6,Cancer,*   3 Cnc,120.19711479666998,17.308700552619996,*,4.0598,-10.504,-3.489,40.667,v,K3III,6.904,5.588,Cnc
7,Cancer,* sig01 Cnc,133.14425827925,32.47415912243,*,14.7289,-5.598,15.832,-11.26,v,A8Vam,5.874,5.664,Cnc
8,Cancer,HD  77445,135.68673582804,7.29826767327,*,5.7957,-10.786,1.695,28.5748,v,K3III:,6.926,5.831,Cnc
9,Cancer,* ome Cnc,120.23280388714002,25.392837389439997,*,5.3076,16.663,7.197,1.9,v,G8III,6.881,5.853,Cnc
10,Cancer,*  66 Cnc,135.35054075731,32.2522960969,*,7.0133,0.723,0.276,-12.8,v,A2V,5.94,5.87,Cnc
11,Cancer,* c Cnc,129.27403693521,9.655578089720002,*,6.6793,-28.308,-3.883,16.5,v,A3V,5.992,5.91,Cnc
12,Cancer,* lam Cnc,125.13390147397001,24.022311148900002,*,5.7362,-20.843,-18.97,27.01,v,B9.5V,5.87,5.93,Cnc
13,Cancer,*  29 Cnc,127.15558131684,14.21082424424,*,9.0325,-13.849,-12.252,6.81,v,A5V,6.136,5.948,Cnc
14,Cancer,*   1 LMi,129.57908811702,32.80201682758,*,8.4547,-24.186,-4.173,4.52,v,K2III:,7.062,5.95,Cnc
15,Cancer,*  57 Cnc A,133.56138342917,30.57912066683,*,8.6445,41.205,-23.252,,,,7.01,5.97,Cnc
